id	detection_time	location_area	distance	detectors			NS_NS	NS_BH	BH_BH	mass_gap	terrestrial		
GW event	Detection time	Location area	Luminosity distance	Detector	False Alarm Rate	False Alarm chance in O4	NS / NS	NS / BH	BH / BH	Mass gap	Terrestrial	Notes	Ref
GW event	 Detection	Location	Luminosity	Detector	False Alarm	False Alarm	Classification					Notes	Ref
	time (UTC)	area[n 23]	distance	[n 25]	Rate (Hz)	chance in O4[n 26]							
		(deg2)	(Mpc)[n 24]				NS / NS	NS / BH	BH / BH	Mass gap	Terrestrial		
							[n 27]	[n 28]	[n 29]	[n 30]	[n 31]		
	12:58:06												
S230630bq	2023-06-30 00:00:00	1975	1150±360	H,L	7.7 10−9	0.303	0.0	0.00076	0.890	0.079	0.031		[109]
	23:45:32												
S230702an	2023-07-02 00:00:00	2267	2428±849	H,L	1.5 10−12	7.2 10−5	0.0	0.0	~1.0	0.0	2.8e-5		[110]
	18:54:53												
S230704f	2023-07-04 00:00:00	1948	2965±978	H,L	2.8 10−9	0.123	0.0	0.0	0.997	0.0	0.0026		[111]
	02:12:11												
S230704bd	2023-07-04 00:00:00	6293	15450±5072	H,L	5.9 10−7	~1.0[n 49]	0.0	0.0	0.735	0.020	0.245		[112]
	21:26:16												
S230706ah	2023-07-06 00:00:00	1553	2143±684	H,L	4.3 10−8	0.863	0.0	0.0	0.939	0.035	0.027		[113]
	10:43:33												
S230707ai	2023-07-07 00:00:00	2714	3766±1135	H,L	1.4 10−8	0.474	0.0	0.0	0.951	0.0	0.049		[114]
	12:40:47												
S230708t	2023-07-08 00:00:00	1227	3010±988	H,L	4.3 10−8	0.867	0.0	0.0	0.973	0.0041	0.027		[115]
	05:37:05												
S230708z	2023-07-08 00:00:00	3373	4647±1696	H,L	7.0 10−8	0.962	0.0	0.0	0.954	0.0041	0.046		[116]
	07:18:59												
S230708cf	2023-07-08 00:00:00	2525	2056±608	H,L	1.6 10−8	0.515	0.0	0.0	0.989	0.0	0.011		[117]
	23:09:35												
S230709i	2023-07-09 00:00:00	2408	?	H,L	5.2 10−7	~1.0[n 50]	0.0	0.0	0.0	0.0	?	Unidentified gravitational wave "burst" lasting 5 milliseconds at a frequency of hundreds of Hertz.	[118]
	02:25:02												
S230709bi	2023-07-09 00:00:00	2644	4364±1585	H,L	3.1 10−9	0.133	0.0	0.0	0.997	0.0	0.0028		[119]
	12:27:27												
S230711b	2023-07-11 00:00:00	4775	6214±2136	H,L	4.8 10−7	~1.0[n 51]	0.0	0.0	0.758	0.034	0.208		[120]
	02:07:05												
S230712d	2023-07-12 00:00:00	454	?	H,L	9.8 10−7	~1.0[n 52]	0.0	0.0	0.0	0.0	?	Unidentified gravitational wave "burst" lasting 6 milliseconds at a frequency of ~550 Hertz.	[121]
	01:33:43												
S230712ak	2023-07-12 00:00:00	4255	?	H,L	4.2 10−7	~1.0[n 53]	0.0	0.0	0.0	0.0	?	Unidentified gravitational wave "burst" lasting 20 milliseconds at a frequency of tens of Hertz.	[122]
	08:55:17												
S230713ar	2023-07-13 00:00:00	1494	?	H,L	6.3 10−7	~1.0[n 54]	0.0	0.0	0.0	0.0	?	Unidentified gravitational wave "burst" lasting 2 milliseconds at a frequency of hundreds of Hertz.	[123]
	10:22:24												
S230716j	2023-07-16 00:00:00	3935	?	H,L	6.3 10−7	~1.0[n 55]	0.0	0.0	0.0	0.0	?	Unidentified gravitational wave "burst" lasting 5 milliseconds at a frequency of ~800 Hertz.	[124]
	01:13:00												
S230716o	2023-07-16 00:00:00	2351	508±203	H,L	5.0 10−7	~1.0[n 56]	0.0	0.0064	0.568	0.176	0.250		[125]
	03:01:19												
S230723ac	2023-07-23 00:00:00	1117	1551±436	H,L	5.3 10−8	0.917	0.0	0.0	0.867	0.0	0.133		[126]
	10:18:23												
S230725am	2023-07-25 00:00:00	3415	613±203	H,L	5.0 10−7	~1.0[n 57]	0.0	0.00057	0.454	0.047	0.498		[127]
	13:16:48												
S230726a	2023-07-26 00:00:00	27774	2132±714	L	3.8 10−14	1.8 10−6	0.0	0.0	~1.0	0.0	1.4e-7	Detected by only the Livingston detector, resulting in a bad sky localization.	[128]
	00:29:40												
S230728ap	2023-07-28 00:00:00	3495	2731±1445	H,L	1.0 10−7	0.9917[n 58]	0.0	0.0	0.940	0.0	0.060		[129]
	08:36:28												
S230729z	2023-07-29 00:00:00	1945	1495±444	H,L	3.4 10−9	0.158	0.0	0.0	0.942	0.055	0.0030		[130]
	08:23:17												
S230731an	2023-07-31 00:00:00	599	1001±242	H,L	3.2 10−10	0.015	0.0	0.174	0.771	0.053	0.0022		[131]
	21:53:07												
S230802aq	2023-08-02 00:00:00	25885	576±246	H	2.2 10−8	0.646	0.0	0.020	0.289	0.657	0.035	The other component is a black hole. Detected by only the Hanford detector, resulting in a bad sky localization.	[132]
	11:33:59												
S230805x	2023-08-05 00:00:00	2235	3852±1193	H,L	9.2 10−9	0.349	0.0	0.0	0.99975	0.0	0.00025		[133]
	03:42:49												
S230805bm	2023-08-05 00:00:00	11617	?	H,L	2.7 10−7	~1.0[n 59]	0.0	0.0	0.0	0.0	?	Unidentified gravitational wave "burst" lasting 15 milliseconds at a frequency of 1370 Hertz.	[134]
	11:59:27												
S230806ak	2023-08-06 00:00:00	3715	5423±1862	H,L	3.0 10−9	0.129	0.0	0.0	0.997	0.0	0.0026		[135]
	20:40:41												
S230807f	2023-08-07 00:00:00	5436	5272±1900	H,L	7.1 10−8	0.964	0.0	0.0	0.913	0.041	0.047		[136]
	20:50:45												
S230811n	2023-08-11 00:00:00	810	1905±672	H,L	3.2 10−10	0.015	0.0	0.0	~1.0	0.0	2.2e-5		[137]
	03:21:16												
S230814r	2023-08-14 00:00:00	3389	3788±1416	H,L	4.8 10−8	0.894	0.0	0.0	0.932	0.0	0.068		[138]
	06:19:20												
S230814ah	2023-08-14 00:00:00	25259	330±105	L	1.7 10−21	8.6 10−14	0.0	0.0	~1.0	0.0	2.0e-14	Detected by only the Livingston detector, resulting in a bad sky localization.	[139]
	23:09:01												
S230819ax	2023-08-19 00:00:00	4044	4216±1645	H,L	8.8 10−9	0.338	0.0	0.0	0.993	0.0	0.0072		[140]
	17:19:10												
S230820bq	2023-08-20 00:00:00	1373	3600±1437	H,L	4.2 10−8	0.861	0.0	0.0	0.958	0.0	0.042		[141]
	21:25:15												
S230822ac	2023-08-22 00:00:00	5534	9962±3231	H,L	3.6 10−7	~1.0[n 60]	0.0	0.0	0.778	0.035	0.187		[142]
	04:39:49												
S230822bm	2023-08-22 00:00:00	3974	5154±1771	H,L	2.6 10−8	0.700	0.0	0.0	0.939	0.042	0.019		[143]
	23:03:37												
S230824r	2023-08-24 00:00:00	3279	4701±1563	H,L	1.6 10−11	0.00076	0.0	0.0	~1.0	0.0	2.9e-5		[144]
	03:30:47												
S230824bp	2023-08-24 00:00:00	5095	?	H,L	5.0 10−7	~1.0[n 61]	0.0	0.0	0.0	0.0	?	Unidentified gravitational wave "burst" lasting 22 milliseconds at a frequency of tens of Hertz.	[145]
	13:53:31												
S230825k	2023-08-25 00:00:00	3012	5283±2117	H,L	2.4 10−9	0.105	0.0	0.0	0.939	0.059	0.0022		[146]
	04:13:34												
S230825aq	2023-08-25 00:00:00	3789	?	H,L	3.5 10−7	~1.0[n 62]	0.0	0.0	0.0	0.0	?	Unidentified gravitational wave "burst" lasting 6 milliseconds at a frequency of ~100 Hertz.	[147]
	11:31:24												
S230828aq	2023-08-28 00:00:00	6428	?	H,L	5.2 10−7	~1.0[n 63]	0.0	0.0	0.0	0.0	?	Unidentified gravitational wave "burst" lasting 13 milliseconds at a frequency of 800 Hertz.	[148]
	16:07:06												
S230830q	2023-08-30 00:00:00	1677	3843±1289	H,L	1.3 10−7	0.9980[n 64]	0.0	0.0	0.923	0.0041	0.077		[149]
	06:47:44												
S230831e	2023-08-31 00:00:00	3803	4900±2126	H,L	2.0 10−8	0.603	0.0	0.0	0.985	0.0073	0.015		[150]
	01:54:14												
S230902af	2023-09-02 00:00:00	7622	10221±3354	H,L	4.0 10−7	~1.0[n 65]	0.0	0.0	0.764	0.034	0.202		[151]
	15:03:25												
S230904n	2023-09-04 00:00:00	2015	1095±327	H,L	2.2 10−9	0.100	0.0	0.0007	0.927	0.064	0.009		[152]
	05:10:13												
S230904bg	2023-09-04 00:00:00	3059	4581±1531	H,L	8.0 10−7	~1.0[n 66]	0.0	0.0	0.688	0.0073	0.312		[153]
	19:45:32												
S230908aa	2023-09-08 00:00:00	699	?	H,L	8.9 10−7	~1.0[n 67]	0.0	0.0	0.0	0.0	?	Unidentified gravitational wave "burst" lasting 62 milliseconds at a frequency of 1420 Hertz.	[154]
	09:24:37												
S230911ae	2023-09-11 00:00:00	27759	1623±584	H	1.9 10−12	8.8 10−5	0.0	0.0	~1.0	0.0	3.6e-6	Detected by only the Hanford detector, resulting in a bad sky localization.	[155]
	19:53:24												
S230911ar	2023-09-11 00:00:00	3178	?	H,L	3.8 10−7	~1.0[n 68]	0.0	0.0	0.0	0.0	?	Unidentified gravitational wave "burst" lasting 5 milliseconds at a frequency of ~700 Hertz.	[156]
	23:51:36												
S230914ak	2023-09-14 00:00:00	1532	2676±827	H,L	9.0 10−10	0.041	0.0	0.0	0.992	0.0	0.0083		[157]
	11:14:01												
S230916bm	2023-09-16 00:00:00	3188	?	H,L	8.8 10−7	~1.0[n 69]	0.0	0.0	0.0	0.0	?	Unidentified gravitational wave "burst" lasting 20 milliseconds at a frequency of ~50 Hertz.	[158]
	19:03:58												
S230917af	2023-09-17 00:00:00	238	?	H,L	4.6 10−7	~1.0[n 70]	0.0	0.0	0.0	0.0	?	Unidentified gravitational wave "burst" lasting 14 milliseconds at a frequency of 1050 Hertz.	[159]
	10:04:17												
S230919bj	2023-09-19 00:00:00	708	1491±402	H,L	3.2 10−10	0.015	0.0	0.0	0.99965	0.0	0.00035		[160]
	21:57:12												
S230920al	2023-09-20 00:00:00	2180	3139±1003	H,L	3.2 10−10	0.015	0.0	0.0	~1.0	0.0	1.1e-5		[161]
	07:11:24												
S230922g	2023-09-22 00:00:00	324; towards Pisces Austrinus or Aquarius	1491±443	H,L	1.9 10−24	0.0	0.0	0.0	~1.0	0.0	0.0		[162]
	02:03:44												
S230922q	2023-09-22 00:00:00	4658	6653±2348	H,L	3.6 10−10	0.017	0.0	0.0	~1.0	0.0	2.2e-5		[163]
	04:06:58												
